fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	parametro	iteracion
20220831 163507	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	342	TRUE	0.107188151227165	0.919798039679881	2226	1002	0.426440852473876	12
20220831 163516	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	60	TRUE	0.238762117425213	0.277307153481524	1423	55	0.445162734775447	13
20220831 163527	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	28	TRUE	0.134508215714013	0.715277374989819	107	206	0.447619684225509	14
20220831 164013	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	3340	TRUE	0.0196766481758095	0.780452491599135	3056	275	0.401178955077543	15
20220831 164036	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	141	TRUE	0.245928489425132	0.366584975051228	2868	748	0.399662117711445	16
20220831 164151	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	1171	TRUE	0.010271519581185	0.963733317505908	1112	10	0.457081751218565	17
20220831 164214	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	634	TRUE	0.0102080145593038	0.999812696602444	545	859	0.464086537175899	18
20220831 164225	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	681	TRUE	0.0101123757751551	0.617452948965051	793	490	0.459683391193381	19
20220831 164227	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	119	TRUE	0.135948410194452	0.999824086305417	1393	846	0.450842959452584	20
20220831 164235	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	316	TRUE	0.0156294547138231	0.999847541613202	424	12	0.465252145672113	21
20220831 164237	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	50	TRUE	0.138288762306418	0.999843454067644	412	549	0.462465138475879	22
20220831 164240	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	60	TRUE	0.104680019232132	0.998836253534467	680	43	0.456274028608283	23
20220831 164251	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	514	TRUE	0.0101510400323464	0.705572768057045	426	483	0.46666462925574	24
20220831 164304	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	362	TRUE	0.0101026672621168	0.999987191011317	204	1023	0.459693739026547	25
20220831 164306	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	22	TRUE	0.299959829219697	0.734477322908778	421	1024	0.447355287580553	26
20220831 164310	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	561	TRUE	0.0233190140228693	0.201673946343655	972	10	0.456866945753204	27
20220831 164346	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	5797	TRUE	0.0101153806509139	0.999846155867789	2761	11	0.405917151765813	28
20220831 164348	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	84	TRUE	0.299978674503368	0.72868356058572	1753	1023	0.437353574879631	29
20220831 164356	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	615	TRUE	0.010103331432152	0.290605093275441	419	11	0.469538253931949	30
20220831 164359	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	109	TRUE	0.0529926649486152	0.517599435697842	360	10	0.465210353764821	31
20220831 164407	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	727	TRUE	0.0101275527788041	0.275366074555461	501	1009	0.468798936291577	32
20220831 164414	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	666	TRUE	0.010030763836301	0.204773330707105	519	272	0.464971132284631	33
20220831 164417	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	79	TRUE	0.059683207809324	0.745502212464468	449	1024	0.470397198625867	34
20220831 164421	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	223	TRUE	0.0437053625378067	0.994975584587664	948	1024	0.458115897364943	35
20220831 164432	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	563	TRUE	0.0107417949635858	0.501333081670364	431	1021	0.466134894575641	36
20220831 164437	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	130	TRUE	0.103409292102071	0.212089255232351	735	1024	0.453772555967179	37
